# verdict	rule	url
accept	ok	http://localhost:11434
accept	ok	https://LOCALHOST.
accept	ok	http://localhost.:11434/base/path
accept	ok	http://localhost:11434/v1.2/model..name
accept	ok	http://localhost:11434/base/%252e/%255c-safe
accept	ok	http://127.0.0.1
accept	ok	http://127.255.2.3:11434
accept	ok	http://[::1]:11434
accept	ok	https://localhost:9443/ollama
reject	surrounding_whitespace	 http://localhost:11434
reject	scheme	ftp://localhost:11434
reject	credentials	http://user@localhost:11434
reject	credentials	http://user:pass@localhost:11434
reject	query_or_fragment	http://localhost:11434?x=1
reject	query_or_fragment	http://localhost:11434/#frag
reject	path_segment	http://localhost:11434/.
reject	path_segment	http://localhost:11434/..
reject	path_segment	http://localhost:11434/base/./models
reject	path_segment	http://localhost:11434/base/../models
reject	path_segment	http://localhost:11434/%2e
reject	path_segment	http://localhost:11434/%2E%2E/models
reject	path_segment	http://localhost:11434/base/%2e%2e/models
reject	path_segment	http://localhost:11434/%2efoo
reject	path_segment	http://localhost:11434/a%2eb
reject	path_segment	http://localhost:11434/base/nested/%2E%2efoo
reject	path_segment	http://localhost:11434/base/%2fmodels
reject	path_segment	http://localhost:11434/base/%5Cmodels
reject	path_segment	http://localhost:11434/base\..\models
reject	authority_encoding	http://local%68ost:11434
reject	authority_encoding	http://[fe80::1%25lo0]:11434
reject	non_loopback_host	http://0.0.0.0:11434
reject	non_loopback_host	http://192.168.1.5:11434
reject	non_loopback_host	http://8.8.8.8:11434
reject	non_loopback_host	http://[::]:11434
reject	non_loopback_host	http://[::2]:11434
reject	non_loopback_host	http://[::ffff:127.0.0.1]:11434
reject	syntax	http://[::1.]:11434
reject	syntax	http://[127.0.0.1]:11434
reject	syntax	http://[localhost.]:11434
reject	syntax	http://127.0.0.1.:11434
reject	non_loopback_host	http://ollama.internal:11434
reject	non_loopback_host	http://host.docker.internal:11434
reject	ambiguous_numeric_host	http://2130706433:11434
reject	ambiguous_numeric_host	http://0x7f000001:11434
reject	ambiguous_numeric_host	http://0177.0.0.1:11434
reject	ambiguous_numeric_host	http://127.1:11434
reject	ambiguous_numeric_host	http://127.0.1:11434
reject	ambiguous_numeric_host	http://127.000.000.001:11434
reject	port	http://localhost:0
reject	port	http://localhost:65536
reject	syntax	http://localhost..:11434
reject	syntax	http://[::1
accept	ok	http://localhost:11434/base%20path
accept	ok	http://localhost:11434/base/%C3%A9
accept	ok	http://localhost:11434/a.b
reject	endpoint_byte	http://localhost:11434/base path
reject	endpoint_byte	http://localhost:11434/base/é
reject	endpoint_byte	http://localhost:11434/base/你好
reject	control_character	http://local<TAB>host:11434
reject	control_character	http://localhost:11434<LF>/api
reject	control_character	http://localhost:11434<CR>
reject	control_character	http://localhost:11434<US>
reject	control_character	http://localhost:11434<DEL>
reject	empty	<EMPTY>
